num_eval_points,valid_ratio_all,inside_ratio_valid,top1,top5,pmax_mean,entropy_mean,pmax_top1_correct,pmax_top1_wrong,entropy_top1_correct,entropy_top1_wrong,soft_l1_all,soft_l1_top1_correct,soft_l1_topk_not_top1,soft_l1_topk_wrong,argmax_l1_all,argmax_l1_top1_correct,argmax_l1_topk_not_top1,argmax_l1_topk_wrong,target_candidate_l1_all,target_candidate_l1_top1_correct,soft_axis_l1_all_zyx,soft_axis_l1_top1_correct_zyx,argmax_axis_l1_all_zyx,target_axis_l1_all_zyx,soft_l1_high_conf,soft_l1_low_conf,high_conf_ratio,min_dist2_mean,min_dist2_top1_correct,min_dist2_top1_wrong,candidate_valid_ratio,batch_id
436,0.5677083730697632,1.0,0.6215596199035645,0.8853210806846619,0.46659475564956665,2.505708932876587,0.498812735080719,0.4136791527271271,2.4224162101745605,2.6425111293792725,1.8090342283248901,1.3045421838760376,2.2379183769226074,3.5569474697113037,1.7771097421646118,1.2616620063781738,2.2715468406677246,3.433631420135498,1.4346050024032593,1.2616620063781738,"[0.5234729051589966, 0.7054765224456787, 0.5800848007202148]","[0.2544811964035034, 0.5612723231315613, 0.4887886941432953]","[0.5084112286567688, 0.6908683180809021, 0.5778302550315857]","[0.23584072291851044, 0.6465824842453003, 0.552181601524353]",1.3234763145446777,1.9019004106521606,0.16055046021938324,0.3744865655899048,0.31328248977661133,0.4750097095966339,0.8578457236289978,0
381,0.49609375,1.0,0.7769029140472412,0.9658792614936829,0.5486421585083008,2.1775479316711426,0.5635045766830444,0.4968859553337097,2.1340746879577637,2.3289365768432617,1.4537203311920166,1.2072083950042725,2.084259510040283,3.574387788772583,1.508387565612793,1.243633508682251,2.221177339553833,3.588873863220215,1.3625056743621826,1.243633508682251,"[0.3326480984687805, 0.5485048294067383, 0.5725672841072083]","[0.23892681300640106, 0.4814038872718811, 0.4868776500225067]","[0.32910048961639404, 0.5826982855796814, 0.596588671207428]","[0.23973387479782104, 0.5569889545440674, 0.565782904624939]",1.2210023403167725,1.5873886346817017,0.3648293912410736,0.3759879767894745,0.3177543878555298,0.5787777900695801,0.764241635799408,1
461,0.6002604365348816,1.0,0.876355767250061,0.9934924244880676,0.5479611158370972,2.2455894947052,0.5597076416015625,0.46470481157302856,2.2138030529022217,2.4708831310272217,0.9899696111679077,0.8688926696777344,1.8281493186950684,2.2077581882476807,1.0641154050827026,0.9223718643188477,2.0641393661499023,2.1517932415008545,0.9923350214958191,0.9223718643188477,"[0.23765124380588531, 0.3814586102962494, 0.3708597421646118]","[0.17808140814304352, 0.3495536148548126, 0.34125760197639465]","[0.24323059618473053, 0.42577114701271057, 0.3951135575771332]","[0.1914033591747284, 0.4204104244709015, 0.3805212378501892]",0.7691274285316467,1.094393253326416,0.3210412263870239,0.24616381525993347,0.21429084241390228,0.47207027673721313,0.8493815660476685,2
439,0.5729166865348816,0.9977272748947144,0.7494305372238159,0.9635535478591919,0.5185726881027222,2.3084590435028076,0.556199312210083,0.4060349762439728,2.1944479942321777,2.6494550704956055,1.5194281339645386,1.0927611589431763,2.0288543701171875,7.299886703491211,1.5701618194580078,1.0997785329818726,2.2117319107055664,7.473189830780029,1.2763861417770386,1.0997785329818726,"[0.36715564131736755, 0.6060359477996826, 0.5462365746498108]","[0.21543017029762268, 0.45295754075050354, 0.4243735074996948]","[0.37626487016677856, 0.6307510733604431, 0.5631458759307861]","[0.22648458182811737, 0.5433403253555298, 0.5065611600875854]",1.0067332983016968,1.7645548582077026,0.32346242666244507,0.34427371621131897,0.2758285701274872,0.5489867925643921,0.8178661465644836,3
454,0.5911458730697632,1.0,0.8171806335449219,0.9647576808929443,0.5422242879867554,2.258435010910034,0.5688948035240173,0.42301028966903687,2.1821367740631104,2.5994789600372314,1.3048734664916992,1.0918998718261719,2.0094470977783203,3.292801856994629,1.3625468015670776,1.12074613571167,2.2364678382873535,3.3097541332244873,1.2193169593811035,1.12074613571167,"[0.324579656124115, 0.5261446833610535, 0.4541492164134979]","[0.21356241405010223, 0.472992479801178, 0.4053448736667633]","[0.3227360248565674, 0.5351395606994629, 0.5046710968017578]","[0.22161909937858582, 0.5219022631645203, 0.4757956564426422]",1.0678762197494507,1.460565209388733,0.39647576212882996,0.3297446668148041,0.2792775332927704,0.5553267598152161,0.838245153427124,4
513,0.6692708730697632,0.9980545043945312,0.7115010023117065,0.9278752207756042,0.528165876865387,2.223085880279541,0.5678685307502747,0.4302504360675812,2.1065545082092285,2.5104777812957764,1.937756061553955,1.2949727773666382,2.8005282878875732,5.69041109085083,2.0890166759490967,1.3915618658065796,3.0702707767486572,6.0255513191223145,1.604865312576294,1.3915618658065796,"[0.3467886447906494, 0.7771349549293518, 0.8138324022293091]","[0.19412486255168915, 0.5610473155975342, 0.5398005247116089]","[0.35845744609832764, 0.815405547618866, 0.9151535034179688]","[0.20946544408798218, 0.6998858451843262, 0.695513904094696]",1.33894944190979,2.2959208488464355,0.3742690086364746,0.35350605845451355,0.2809229791164398,0.5325115919113159,0.8559625744819641,5
383,0.4986979365348816,1.0,0.8825065493583679,0.9869451522827148,0.5790745615959167,2.0525214672088623,0.591535210609436,0.48548150062561035,2.0293850898742676,2.2263011932373047,1.1761279106140137,1.0569442510604858,1.986227035522461,2.7521402835845947,1.2216501235961914,1.0888882875442505,2.156398296356201,2.718374013900757,1.1712843179702759,1.0888882875442505,"[0.25676509737968445, 0.5014856457710266, 0.41787704825401306]","[0.19618771970272064, 0.47166886925697327, 0.3890877068042755]","[0.2560183107852936, 0.5300036668777466, 0.435628205537796]","[0.20793867111206055, 0.528442919254303, 0.4349026679992676]",1.0513975620269775,1.3028274774551392,0.5039164423942566,0.29804906249046326,0.26018062233924866,0.5824832916259766,0.7721067070960999,6
489,0.63671875,1.0,0.8139059543609619,0.9795501232147217,0.5301321148872375,2.28419828414917,0.5464593172073364,0.4587230682373047,2.249767541885376,2.434786081314087,1.1411678791046143,0.9178267121315002,1.9196491241455078,3.724454641342163,1.1925445795059204,0.9434268474578857,2.0792391300201416,3.9252052307128906,1.0659157037734985,0.9434268474578857,"[0.3172650933265686, 0.39077699184417725, 0.4331258535385132]","[0.21304765343666077, 0.3167421221733093, 0.38803690671920776]","[0.33444473147392273, 0.40677085518836975, 0.45132896304130554]","[0.22653116285800934, 0.391167014837265, 0.4482174515724182]",0.9372086524963379,1.2229856252670288,0.28629857301712036,0.329710453748703,0.2905632555484772,0.5009254217147827,0.8273764848709106,7
497,0.6484375,0.9979919791221619,0.8390341997146606,0.9637826681137085,0.5516499280929565,2.1654276847839355,0.5778924822807312,0.4148605465888977,2.0851497650146484,2.5838775634765625,1.5077261924743652,1.2574589252471924,2.424936294555664,4.146311283111572,1.559612512588501,1.2766245603561401,2.6406400203704834,4.391963481903076,1.376010537147522,1.2766245603561401,"[0.2850857377052307, 0.6506361961364746, 0.5720042586326599]","[0.21140433847904205, 0.5547862648963928, 0.49126824736595154]","[0.29901331663131714, 0.6619773507118225, 0.5986218452453613]","[0.21368244290351868, 0.6070519685745239, 0.555276095867157]",1.2396576404571533,1.7580628395080566,0.4828973710536957,0.33154919743537903,0.29268303513526917,0.5341392159461975,0.8176054954528809,8
482,0.6276041865348816,1.0,0.8547717928886414,0.9917012453079224,0.5480088591575623,2.1571145057678223,0.564473032951355,0.45110541582107544,2.117894411087036,2.387951612472534,0.8888772130012512,0.7814286947250366,1.4811663627624512,2.1832973957061768,0.9294907450675964,0.8156240582466125,1.5560996532440186,2.318706512451172,0.8671345114707947,0.8156240582466125,"[0.28128162026405334, 0.3193188011646271, 0.288276731967926]","[0.20825812220573425, 0.30173221230506897, 0.2714383006095886]","[0.2729913890361786, 0.3454412519931793, 0.3110581338405609]","[0.21334345638751984, 0.3452063798904419, 0.30858466029167175]",0.7569090127944946,0.9485011696815491,0.31120333075523376,0.28031378984451294,0.23978401720523834,0.518860399723053,0.8644804954528809,9
